Alkmaar,Hoorn,24,Kritiek
Alkmaar,Den Helder,36,Kritiek
Almelo,Hengelo,10,Kritiek
Almere Centrum,Lelystad Centrum,14,
Amsterdam Amstel,Amsterdam Centraal,8,Kritiek
Amsterdam Amstel,Amsterdam Zuid,10,
Amsterdam Amstel,Almere Centrum,27,
Amsterdam Amstel,Hilversum,28,
Amsterdam Centraal,Amsterdam Sloterdijk,6,Kritiek
Amsterdam Centraal,Almere Centrum,20,Kritiek
Amsterdam Sloterdijk,Haarlem,11,Kritiek
Amsterdam Sloterdijk,Zaandam,6,
Amsterdam Zuid,Schiphol Airport,6,Kritiek
Amsterdam Zuid,Amsterdam Sloterdijk,16,
Apeldoorn,Zutphen,20,
Apeldoorn,Amersfoort,24,
Arnhem Centraal,Ede-Wageningen,10,Kritiek
Arnhem Centraal,Dieren,12,Kritiek
Assen,Zwolle,40,Kritiek
Beverwijk,Castricum,13,
Breda,Etten-Leur,7,Kritiek
Breda,Dordrecht,18,Kritiek
Castricum,Alkmaar,9,Kritiek
Delft,Den Haag HS,8,Kritiek
Delft,Den Haag Centraal,13,Kritiek
Delft,Den Haag Laan v NOI,12,
Den Haag Centraal,Leiden Centraal,12,Kritiek
Den Haag Centraal,Gouda,18,Kritiek
Den Haag HS,Leiden Centraal,12,Kritiek
Den Haag HS,Gouda,21,Kritiek
Den Haag Laan v NOI,Leiden Centraal,9,Kritiek
Den Haag Laan v NOI,Gouda,28,
Deventer,Apeldoorn,10,
Deventer,Zutphen,12,
Deventer,Almelo,24,
Dordrecht,Rotterdam Blaak,14,Kritiek
Dordrecht,Rotterdam Centraal,17,Kritiek
Eindhoven,Helmond,9,Kritiek
Eindhoven,s-Hertogenbosch,18,Kritiek
Eindhoven,Tilburg,21,Kritiek
Etten-Leur,Roosendaal,11,
Gouda,Alphen a/d Rijn,19,
Groningen,Assen,17,Kritiek
Haarlem,Beverwijk,16,Kritiek
Heemstede-Aerdenhout,Haarlem,6,Kritiek
Heerenveen,Steenwijk,14,
Helmond,Venlo,30,
Hengelo,Enschede,7,Kritiek
Hilversum,Almere Centrum,26,
Leeuwarden,Heerenveen,16,Kritiek
Leeuwarden,Groningen,35,Kritiek
Leiden Centraal,Heemstede-Aerdenhout,13,Kritiek
Leiden Centraal,Alphen a/d Rijn,14,Kritiek
Leiden Centraal,Schiphol Airport,15,Kritiek
Maastricht,Sittard,15,Kritiek
Nijmegen,Arnhem Centraal,12,Kritiek
Oss,Nijmegen,16,Kritiek
Roermond,Weert,14,
Roosendaal,Dordrecht,22,Kritiek
Roosendaal,Vlissingen,63,
Rotterdam Alexander,Gouda,10,
Rotterdam Blaak,Rotterdam Alexander,9,
Rotterdam Blaak,Schiedam Centrum,11,
Rotterdam Centraal,Schiedam Centrum,5,Kritiek
Rotterdam Centraal,Rotterdam Alexander,8,Kritiek
Schiedam Centrum,Delft,7,
s-Hertogenbosch,Tilburg,15,Kritiek
s-Hertogenbosch,Oss,11,
Sittard,Heerlen,15,Kritiek
Sittard,Roermond,15,Kritiek
Steenwijk,Zwolle,24,Kritiek
Tilburg,Breda,13,Kritiek
Utrecht Centraal,Amersfoort,14,Kritiek
Utrecht Centraal,Hilversum,15,Kritiek
Utrecht Centraal,Gouda,18,Kritiek
Utrecht Centraal,Amsterdam Amstel,19,Kritiek
Utrecht Centraal,Ede-Wageningen,24,Kritiek
Utrecht Centraal,Amsterdam Centraal,27,Kritiek
Utrecht Centraal,s-Hertogenbosch,27,Kritiek
Utrecht Centraal,Alphen a/d Rijn,28,Kritiek
Utrecht Centraal,Schiphol Airport,33,Kritiek
Weert,Eindhoven,17,Kritiek
Zaandam,Castricum,12,
Zaandam,Beverwijk,25,
Zaandam,Hoorn,26,
Zutphen,Dieren,8,
Zwolle,Deventer,24,Kritiek
Zwolle,Amersfoort,35,Kritiek
Zwolle,Almelo,42,Kritiek
