Rotterdam Alexander,Gouda,
Gouda,Rotterdam Alexander,
Rotterdam Alexander,Rotterdam Centraal,
Rotterdam Centraal,Schiedam Centrum,
Schiedam Centrum,Delft,
Delft,Den Haag Centraal,
Den Haag Centraal,Gouda,
Gouda,Alphen a/d Rijn,
Alphen a/d Rijn,Leiden Centraal,
,,End of line
Dordrecht,Rotterdam Centraal,
,,End of line
Haarlem,Amsterdam Sloterdijk,
Amsterdam Sloterdijk,Zaandam,
Zaandam,Hoorn,
Hoorn,Alkmaar,
,,End of line
Amsterdam Zuid,Amsterdam Amstel,
Amsterdam Amstel,Amsterdam Zuid,
Amsterdam Zuid,Schiphol Airport,
Schiphol Airport,Leiden Centraal,
Leiden Centraal,Den Haag Centraal,
Den Haag Centraal,Leiden Centraal,
Leiden Centraal,Heemstede-Aerdenhout,
Heemstede-Aerdenhout,Haarlem,
Haarlem,Beverwijk,
,,End of line
,,End of line
Castricum,Zaandam,
Zaandam,Beverwijk,
Beverwijk,Castricum,
Castricum,Alkmaar,
Alkmaar,Den Helder,
,,End of line
Amsterdam Zuid,Amsterdam Sloterdijk,
Amsterdam Sloterdijk,Amsterdam Centraal,
Amsterdam Centraal,Amsterdam Amstel,
,,End of line
